t,v_true,v_ml,v_ml_raw,v_ekf_pre,v_ekf_post
32793,7.116666666666667,4.9938971824645995,4.0368971824646,4.094732647172728,4.52805573534122
32803,7.116666666666667,5.51638196182251,4.55938196182251,3.8130313355356207,4.633904194438423
32813,7.116666666666667,6.1647794075012206,5.207779407501221,4.248701720750239,5.174938070451827
32823,7.116666666666667,5.376094562530517,4.419094562530518,4.216080165884153,4.771119111526979
32833,7.116666666666667,5.2088162727355956,4.251816272735596,4.647136618686748,4.915133564580397
32843,7.116666666666667,5.689472419738769,4.7324724197387695,5.05929358669561,5.362506096206695
32853,7.35,5.70726273727417,4.75026273727417,5.419608356726572,5.558162593370922
32863,7.35,5.481930000305176,4.524930000305176,4.943777540233686,5.201152741479623
32873,7.35,5.117635471343994,4.160635471343994,5.285031446222677,5.206217667722063
32883,7.35,5.4409563369750975,4.483956336975098,5.43227943162347,5.436368207491302
32893,7.35,5.326748115539551,4.369748115539551,4.877050322279637,5.086480894038769
32903,7.35,4.894272071838379,3.937272071838379,4.330886888363103,4.597320117049469
32913,7.35,4.08146117401123,3.1244611740112305,4.487808323670513,4.292505573875901
32923,7.35,5.3125455207824706,4.355545520782471,3.7647504292609275,4.48891846063216
32933,7.35,5.711484176635742,4.754484176635742,4.029306599290529,4.829107426659422
32943,7.35,5.014249546051025,4.057249546051025,4.201441428254506,4.592615186129123
34943,7.197222222222222,4.2078373260498045,3.2508373260498047,6.934076576425873,5.592448971236246
34953,7.197222222222222,5.054527503967285,4.097527503967285,5.853919361362967,5.466800405406784
34963,7.197222222222222,4.225620491027832,3.268620491027832,4.034567891488189,4.1248632616265715
34973,7.197222222222222,3.6929514236450194,2.7359514236450195,3.478048314721405,3.5762617524324485
34983,7.197222222222222,4.356118900299072,3.3991189002990723,2.0205688461770923,3.049958679404275
34993,7.197222222222222,4.221547824859619,3.264547824859619,2.273159973238489,3.12263963767415
35003,7.197222222222222,4.335538370132446,3.3785383701324463,2.8761420186799262,3.5071700638558956
35013,7.569444444444445,5.2137906379699706,4.256790637969971,2.2431571110302566,3.53494861682174
35023,7.569444444444445,4.524339420318603,3.5673394203186035,3.7460150475165896,4.108617641427037
35033,7.569444444444445,3.7228030986785887,2.765803098678589,1.7820685406244572,2.628695109321809
